movieId,top1,top2,top3,top4,top5,top6,top7,top8,top9,top10,top11,top12,top13,top14,top15,top16,top17,top18,top19,top20,top21,top22,top23,top24,top25,top26,top27,top28,top29,top30
62,11,1022,33660,3798,110,539,368,1220,7004,1923,1307,2268,1028,508,590,2581,3253,41997,1259,3252,45720,4018,349,1101,8783,1500,47,1302,8970,39292
70,196,1552,442,2541,832,2058,1215,733,4344,6957,344,2006,2605,5903,367,586,163,1831,4223,3527,1690,1391,2826,553,172,231,3698,2005,173,2278
95,733,1573,1552,786,377,2167,1608,1917,3623,780,736,2617,145,5254,2420,1101,380,367,1370,434,2000,1882,586,5010,3717,316,2058,592,185,4270
104,216,788,1485,553,2378,500,3617,2011,2335,231,1777,5481,2694,736,4015,6188,420,3033,153,8528,4718,2706,1917,1573,19,3623,1517,2470,196,33679
110,2028,590,47,593,150,356,318,3578,3753,380,2762,349,50,1210,733,1242,457,832,2000,589,344,4995,1339,480,1961,1721,161,62,1610,1101
111,1089,608,6,1175,904,1206,7438,1221,296,3006,1732,953,4855,1060,858,1258,480,1247,1219,1263,1208,1249,1307,1617,1196,1213,30707,6874,223,1356
141,2054,1380,553,500,2470,3911,3948,2100,586,1088,2006,6807,2987,3247,7162,1961,10,4025,1059,3418,2657,1225,410,1784,1968,2797,2,3703,1485,5349
145,6378,3623,368,95,2706,552,2273,1370,2617,2167,6157,2378,1917,1801,1101,153,30825,733,1552,44,442,4701,31685,41566,4310,4223,5507,6957,434,4718
150,1,480,356,500,1610,1196,380,508,349,110,539,1270,1097,590,457,588,1198,2797,10,1291,2028,1101,1210,2078,2424,33794,1148,3114,2355,1265
153,1562,6157,1917,733,1485,3977,1544,736,780,1552,44,786,1101,2000,1291,8636,500,2628,6365,6754,3793,344,5349,485,158,455,2617,3753,60072,377
158,355,2081,661,455,2617,1562,48,1907,2,673,2080,1911,788,4447,2085,1882,2087,4367,786,2717,1544,586,595,153,2572,6157,2701,3785,4025,1367
161,2268,368,454,440,3555,1610,349,3753,457,1722,2640,8783,1396,380,1608,36529,3256,4321,832,2000,474,2580,2890,1597,786,2058,8636,10,3408,2006
163,1370,1573,196,6709,1805,4344,2378,2826,5254,2278,1597,4223,4369,5630,4701,2006,832,32587,353,6537,104,34319,165,377,2167,6,1527,70,2000,31696
165,1036,1370,2001,2000,733,1918,349,1552,377,2002,380,2115,1291,589,1608,434,1917,485,316,4701,648,592,1573,736,3527,1485,1580,2,3793,442
172,1644,6754,4344,1562,2541,1690,3617,316,7454,6188,3702,5219,1676,329,31696,2273,4638,6157,1831,7360,1801,1101,350,2701,196,4148,6378,8371,1320,4370
173,442,8810,485,196,1676,1917,208,435,5254,6754,1485,673,2002,586,44,3418,786,2987,4025,1320,2701,165,832,153,733,1882,520,1391,5219,104
180,1639,4734,2087,223,553,1032,2701,161,3717,2717,661,1215,34150,2640,6155,34162,2355,2078,368,36529,3753,1193,2273,216,4890,3256,5872,77561,2321,1367
185,377,1580,1573,410,95,2701,455,3256,736,1544,1597,3247,1562,780,1485,4025,2617,3033,2628,355,3101,733,648,2724,2605,350,1552,5254,2470,3948
196,1608,4701,3826,786,2001,2470,1544,832,4855,1882,4321,163,1552,733,5528,6157,2273,2699,1573,3868,434,1092,410,3702,2167,173,1036,553,1101,2706
208,442,1917,733,8361,173,8371,736,434,4299,3300,377,2701,1552,145,1485,780,1544,6754,6537,4369,1101,95,5445,344,786,4270,2916,2,2167,597
215,8638,31878,4002,8464,6188,8873,4489,8910,5225,2791,57368,1982,5464,2248,1921,1059,5954,8798,36529,1287,69757,4979,6863,293,2712,38061,56367,53000,2580,161
216,104,8528,2694,2335,5481,8641,4002,520,6188,344,2378,231,3617,7325,553,4015,2427,3148,2005,46530,3717,6936,586,3948,3752,1517,1343,3033,3869,1777
223,1617,1259,2329,1276,1079,1089,180,1222,1639,592,293,235,778,1265,2918,1732,296,1193,2174,1206,2959,380,4734,16,441,1278,4262,2997,3176,3101
231,344,1923,19,3948,586,788,2683,784,1485,367,1517,500,3752,104,2706,2791,1291,47,45186,216,1,4015,648,1387,2028,3868,377,434,3253,480
235,1673,223,1258,1222,8641,5902,1230,922,2231,2599,3481,4002,3160,3174,4881,913,2987,3499,4979,750,2455,1089,2395,38061,3911,1262,608,1206,2804,4027
253,1339,3081,292,4720,2291,1377,3863,8810,288,1080,4148,32587,4643,5459,3300,1073,81591,1092,2115,5971,1391,6534,4993,8529,1625,1320,60069,1645,2003,8371
260,1196,1210,1198,1291,589,480,4993,5349,1270,1,68358,33493,1221,2571,7153,2640,592,1079,5378,150,2628,919,5952,1193,1240,1580,59315,58559,8636,61240
288,1214,32587,2124,1200,3020,2194,1997,3160,51540,6874,292,1396,1391,1587,1222,1343,253,2023,2427,555,48738,592,1090,69481,441,2997,924,3033,471,1610
292,736,34048,4901,349,1676,434,1962,1485,1917,457,4148,2002,150,1610,1127,1994,2353,30825,377,474,780,500,3916,802,1876,3948,253,3033,485,2987
293,1527,16,223,1089,1617,50,3020,3949,1240,3147,368,1676,36529,2329,2005,1682,48774,49272,2115,442,1222,4901,1653,555,380,4855,2000,1580,2194,2947
296,593,1089,47,1213,1206,778,2858,1617,7438,50,608,1198,2959,356,1193,6874,111,858,1214,1196,223,1208,318,1221,1307,1961,648,1079,1201,1240
300,1673,2231,3755,913,3481,3006,3108,3499,508,457,1994,1358,1653,1259,3555,1060,410,1394,1641,4370,2641,5013,1242,150,2987,6708,292,903,1214,553
316,329,1676,780,3793,733,786,165,736,1291,2716,1372,2167,1608,2617,1356,8371,2916,3717,1552,1527,1370,95,8368,2000,2701,2717,5349,153,1917,172
317,1485,3988,1569,2724,500,2,802,34150,4270,3948,736,2617,153,158,586,4855,1302,539,1580,46972,4299,1544,455,3552,5064,788,3623,786,367,31685
318,50,356,457,527,593,2028,110,1961,2329,3147,2858,1242,4995,2762,58559,380,48780,47,1784,32,597,150,296,5989,1517,733,480,1387,1704,1
329,1356,1372,316,1376,1374,1375,1371,2080,10,2640,2000,8368,2529,165,592,1291,2641,6709,2006,3793,1573,7438,45186,172,292,4701,2717,1370,1527,2012
337,778,8873,1358,6350,1278,555,1259,50872,29,6867,1704,5225,8784,37741,508,2804,1090,1079,1288,2908,1466,1276,1197,31410,1175,7451,4011,2692,150,364
339,539,2406,349,2671,2100,1396,4246,1722,2724,1569,2804,1393,5377,6863,1022,2353,4306,2144,11,5989,2763,5060,1947,2683,2018,1680,3798,2770,2797,1307
344,19,231,367,1485,1517,586,780,736,788,368,2683,1923,1552,648,733,153,5481,6373,1573,1265,520,3948,2005,500,2706,434,480,216,8529,8464
349,457,474,3256,165,6979,1372,587,1722,150,2268,5010,1370,2797,161,1610,454,2353,1608,2001,3753,292,339,1101,110,1036,2490,434,733,780,4223
350,1610,2268,3868,553,3448,1396,196,1225,440,466,474,8361,2194,2470,1962,2058,1961,410,5010,7445,3256,1644,4007,508,2124,2278,1101,786,802,4901
353,4085,4128,3252,3300,1527,592,2000,163,1573,1027,1962,1587,485,1101,6539,95,2003,733,2193,673,110,6323,1246,4002,1407,4973,76093,2231,435,1982
355,158,455,3247,2701,1367,788,673,1562,2987,2378,2080,153,7454,1911,2953,1831,1022,5507,4344,2054,1407,364,44,185,2617,1717,2012,2407,2081,31685
356,1961,500,318,4022,150,2797,590,4995,110,2000,597,2268,1393,296,648,480,1193,1265,1307,47,589,454,364,1210,2028,1270,5989,2858,1682,1
357,4246,1079,34,5299,597,539,3408,2396,5991,3948,500,5989,1307,2671,1035,1242,6155,1022,4361,2797,920,1198,1028,2406,2539,596,3448,6218,2078,3751
364,595,588,1,2081,1270,6377,5349,500,1580,586,919,4306,480,1291,1721,2716,733,1954,3793,3114,648,1380,1210,4886,2054,673,6539,2355,593,356
367,344,1485,1580,377,500,19,788,586,6373,231,736,3977,1544,2617,380,2,2011,95,2987,5459,733,2000,1270,1911,2167,8972,434,2420,457,786
368,553,2268,161,454,2000,1954,2001,474,3448,2490,1485,145,2006,10,344,440,1610,1517,19,1573,832,2470,1092,442,2100,420,1370,2890,434,47
370,3868,3869,2455,2470,466,5481,1517,2683,2700,520,420,2003,1343,4388,3785,2791,586,1580,19,2985,2011,434,2001,368,2916,1485,485,3033,442,231
377,733,736,380,480,500,1580,1036,648,780,2617,2000,2706,1370,1721,367,95,1573,2001,589,597,457,165,586,434,1923,1393,1608,1101,1291,5349
380,733,377,1610,1270,2000,1552,586,500,480,1036,648,434,1198,780,589,1370,2916,165,442,786,457,150,485,1291,2617,1617,592,2054,2001,3698
410,2124,39,2470,196,2987,485,435,185,7004,1644,3253,2054,1580,786,1676,1544,3175,3868,594,350,141,377,1485,4701,4446,2916,4447,1127,300,457
420,2001,1918,368,2470,370,2011,2717,2002,104,2167,4085,4701,2000,165,19,2701,2716,1485,442,3717,3863,3247,1552,2490,2012,673,3033,1645,2115,1917
434,442,1036,3527,788,1610,1370,2000,733,380,1573,377,1552,4855,2001,10,165,736,1917,586,832,3948,21,2167,597,1485,1101,786,1722,196,2605
435,2455,3868,410,7004,2987,173,520,2124,3253,4002,2770,2916,1259,370,3033,442,2539,3608,4105,1347,485,3863,673,2890,196,2985,1220,2054,2716,1027
440,3408,539,11,161,1079,2797,368,474,5299,1801,6565,454,3510,457,3624,1610,150,380,1374,1608,350,4022,1962,1393,4361,4310,1101,3977,6936,2424
441,223,1258,288,46723,3160,3798,68237,52328,4148,1222,89745,3020,1302,5618,5903,180,4979,44195,2378,1073,3535,196,3671,27831,471,2959,6323,3897,1245,32587
442,434,786,2916,1552,2167,733,380,173,3527,1676,208,2985,1370,3977,2054,4855,3863,368,165,780,1544,377,2001,196,3868,1485,1101,832,586,70
454,2268,1961,1393,368,1722,161,10,539,349,3555,3082,1262,1265,440,356,2949,648,1374,434,1356,1954,500,1962,5989,4022,1617,457,4148,2671,2683
455,158,3247,355,2,1367,802,1831,500,552,2054,153,4638,673,736,2080,7004,2953,2161,4367,1876,2431,185,1801,2124,2572,2717,586,1644,1027,317
457,349,3114,377,318,1610,1036,380,150,2947,161,2797,1372,1,1387,592,1262,1270,1580,1374,2716,480,8636,2001,1608,593,500,10,1265,2987,474
466,3869,370,2167,2916,350,4367,442,292,1320,553,3868,349,4369,3785,552,1466,4901,1923,3033,520,196,7445,3617,4890,208,4085,1779,8810,736,474
471,1500,1222,1625,2021,1358,3499,64957,1527,3698,6807,33679,1212,2580,1278,592,288,1285,2455,922,56757,2115,1680,293,2871,2167,76251,1291,1175,3809,2427
474,349,1610,368,1343,2268,2490,440,4901,3753,786,5010,1370,45186,2194,457,3555,161,1608,3994,2278,292,553,1552,2100,3256,11,7143,2000,350,3448
480,1210,377,1196,1097,780,1291,1198,1580,500,1,589,1270,150,380,1036,1721,5349,260,648,1387,2000,593,1101,586,364,1544,7153,2571,595,5952
485,786,165,380,1391,2987,173,2003,21,153,410,1580,1717,4025,1270,1882,2420,2716,6957,1911,367,292,2470,442,2124,1485,1370,5459,1552,2916,520
500,597,586,1485,2054,736,377,1580,2000,648,480,1265,356,380,2,5349,3408,1721,1961,367,364,786,1270,3948,150,5299,508,2716,4995,2268,1917
508,1259,4995,2268,500,1961,150,2329,778,3101,1704,1968,1466,1784,6870,1242,1101,1358,1307,590,8958,4022,6,527,3006,3448,1090,3578,480,1962,4262
509,1094,1375,3033,4848,595,1214,3160,25,4027,7160,778,435,2076,39183,1358,1199,1088,924,6711,7451,8949,592,3471,5673,1208,2395,29,5225,1090,6870
520,3033,1485,3785,552,1917,4270,832,2539,344,1027,216,370,435,673,3052,5219,4367,2003,586,485,2054,7004,2002,3948,2724,4571,4388,3863,1831,19
527,2028,318,593,1721,508,500,590,4034,150,5989,457,1,3408,858,6,5995,33166,30707,47,356,6708,745,1387,4370,8798,1246,1682,357,6016,1748
539,2424,440,2671,5377,1393,587,4246,2797,597,1569,150,590,454,1022,2100,1101,4018,1307,357,339,2406,5299,1721,1262,3408,2949,11,34,1722,2804
541,1214,5060,1200,924,1997,32,1240,1258,1208,608,1748,912,1080,1653,3996,1199,5445,1274,2599,2021,48774,2657,1259,910,1136,2076,56782,3081,8950,3988
551,2291,37729,31658,46578,2657,8529,3253,661,2997,3101,2987,913,1391,1080,1258,4881,2174,54503,1032,595,2321,5528,2692,4105,2078,1245,1136,1172,2763,364
552,520,653,1801,145,6157,455,1101,2420,1562,1580,673,1544,4270,586,2054,6378,733,5507,553,1408,158,786,1831,1027,2617,2717,4367,1917,4701,3977
553,368,4002,104,141,4321,2268,1302,3552,196,2000,4855,1287,350,2006,4901,3448,180,1262,1242,2467,1779,474,587,5010,292,216,1610,1962,7445,2470
555,1358,1090,99114,8784,3101,2467,337,1249,1276,1674,1060,1089,1673,2000,1466,2542,31410,72011,1242,553,3006,3681,741,2858,1617,1193,1961,293,2395,37741
586,2054,2953,2011,500,1485,736,1270,380,2012,2617,1580,2115,377,231,364,367,2,344,2716,2470,480,1544,434,587,2717,1917,1097,2420,3247,2640
587,597,2797,1101,539,349,1721,4321,586,500,1961,1393,590,736,2420,780,1544,4306,356,377,553,1485,788,2100,4022,1968,434,1584,1097,1027,3703
588,595,364,2081,1,6377,1270,150,1580,919,5349,8961,1380,2355,377,1022,500,48,480,1291,4886,1198,4306,8368,1721,594,3793,380,50872,367,1097
589,1240,1270,1196,1291,480,1036,1210,377,260,380,165,2716,2000,2571,733,2762,1200,3527,1198,648,592,1,1370,2011,457,356,858,2985,2916,1221
590,1961,110,356,150,539,508,1101,587,597,527,1307,1617,380,1090,2000,1220,500,480,4022,2268,3101,1721,593,1704,377,2028,349,1339,4995,1259
592,1291,1377,2716,1270,733,2174,2987,1196,2115,7438,6874,5349,1198,2000,648,3793,1214,10,2640,380,2028,3527,457,165,1036,1200,480,1210,589,2001
593,296,47,50,110,318,480,527,2028,1214,1258,457,858,1,364,648,150,4034,2329,3147,1193,368,608,1222,500,2858,3527,165,592,2762,1210
594,596,1022,1029,2018,2081,2087,2078,595,919,1032,1035,3114,2080,1,4886,2085,953,2355,2949,1097,588,920,11,1028,2947,2273,2948,2804,4306,3363
595,588,2081,364,1,919,6377,594,1097,2355,3114,1380,1907,1721,2087,3793,377,5349,1270,1022,480,1035,2085,1387,1580,1291,40815,34,4896,2080,2918
596,594,1029,2078,2087,2018,1032,1022,919,2081,2085,2080,3114,1028,2355,2640,1,1035,953,595,2949,783,661,2947,1097,357,1747,1722,3082,8360,588
597,500,587,1101,377,1721,3408,1393,539,356,780,1961,733,357,2671,434,736,2605,2797,2706,1784,2724,2762,1917,1608,788,648,590,586,2470,3252
608,111,296,1617,2987,3101,3020,593,2791,50,1784,1225,457,4881,1089,1193,5902,2797,2916,1247,2291,1673,1961,1732,1262,223,4027,1214,1219,1258,527
648,3623,500,377,5349,380,480,1291,2268,592,5989,364,1580,165,733,1721,6377,1573,2628,434,589,1196,356,3082,344,597,5445,2000,1265,3948,1198
653,552,1544,2724,7454,1917,2605,736,1562,4128,6378,2006,7373,2,30825,153,49278,783,1722,1367,1101,1831,2003,4447,3578,4446,53972,3798,586,673,455
661,158,2,4447,2087,2080,1022,1029,1035,596,7451,2081,3081,8807,2003,2355,7360,2724,594,3969,1285,2078,788,4890,1032,2294,3988,2321,180,8917,1907
673,788,2335,158,1911,3863,1882,2701,2006,786,1552,736,1544,2572,2617,2953,1485,3868,364,1644,3717,2470,3624,1027,1608,355,5810,1562,455,7454,802
733,1552,95,1573,380,377,1036,780,1917,1101,1610,165,786,592,2000,736,1608,434,2617,153,442,316,2001,1393,589,1370,597,196,364,500,2716
736,1917,377,2617,500,3977,780,586,4369,1573,1552,733,4025,786,1485,1876,8361,2,3623,153,344,1544,1608,292,434,3717,1580,788,95,7454,832
741,6350,4446,1274,27660,3681,1358,1784,1276,1278,3000,3006,61240,3996,1270,1242,31658,919,555,60069,1089,196,6534,1291,48394,37729,3101,76093,592,2985,98809
745,1148,1223,38038,34,3751,1288,6016,1367,150,1097,6947,8783,1073,41997,923,527,1,3114,4014,2018,4007,1212,39292,1022,3175,1682,1387,4034,357,78499
750,1208,1219,1206,3174,1193,1278,858,7361,2288,2791,1230,1258,2761,4027,6711,923,16,4979,1221,235,1252,913,1997,4034,1136,5902,924,1222,1288,1673
778,1089,337,1358,508,4011,2329,1307,296,1732,1206,2959,8873,2542,1259,48394,2997,1079,47,50872,223,1276,2858,1208,1884,5669,8784,4641,1258,3911,588
780,1917,733,480,736,2617,377,1580,1552,316,1608,380,1101,344,153,4310,1485,597,95,4367,33794,586,2001,1573,2353,500,2000,1721,2605,5418,3578
783,48,1022,595,2081,596,2087,653,594,1907,1246,4308,588,2078,1380,2080,1282,2115,5064,5991,158,661,2100,3510,3408,1876,673,1917,1028,357,1032
784,1485,231,2683,786,3752,368,19,586,3176,1517,344,2797,1391,4022,2716,367,485,292,480,370,1270,6373,3253,1079,1923,1343,7325,2890,3948,6708
786,1608,832,1485,1552,733,95,442,1610,500,2,3753,736,1370,196,2001,380,1882,485,316,153,3977,434,4701,5010,2353,673,2167,2420,377,158
788,1485,2617,434,3948,673,104,2706,231,367,2273,2355,158,3988,2470,4701,344,736,500,6373,1036,1,3623,4890,1544,586,19,1608,5481,1911,3114
802,2431,4321,832,1552,455,2407,2058,736,1917,786,1088,3510,317,3552,673,292,500,2420,2100,1271,1911,1608,153,440,1610,2617,196,4855,3255,316
832,786,1608,1485,1805,2058,2826,2539,2278,196,5010,2490,434,1552,802,3408,3256,736,586,2268,368,3527,4321,1917,3826,4018,2605,161,2001,2353,3753
858,1221,1954,50,2028,593,1219,296,1208,1213,589,1278,1617,1196,2762,750,111,527,923,2023,4034,56757,1288,2858,1240,4979,1247,260,1089,1234,1193
899,2019,910,1282,1250,3363,3448,5989,5064,5013,1287,1333,1242,3916,1302,1304,1079,59615,5060,7438,953,1219,2144,908,923,1261,919,1234,1682,6378,471
902,54259,8970,48394,5218,1249,1947,910,1267,908,914,2291,3081,3996,2115,913,69757,1274,36,912,357,1234,6807,2529,1784,25,541,904,60069,1136,1997
903,904,4855,1219,908,1212,1333,1252,1953,913,1230,1617,923,5995,2599,88744,661,1097,924,912,300,741,30810,2115,1274,2160,3698,6537,6534,3081,750
904,908,1278,903,3471,111,1333,1219,1212,953,1267,922,1617,1234,1247,920,1358,912,1276,1207,588,1252,919,1250,3006,1225,3681,1387,3897,1258,1262
908,904,913,1219,1252,903,1267,910,1247,1262,924,1333,1258,111,1234,923,596,2949,1274,2947,2455,1278,953,912,1225,5991,1947,4002,5013,52722,2791
910,899,908,2529,919,1997,1962,1380,922,1267,1252,1947,3081,4361,1234,60069,5060,1367,596,541,1250,595,2081,435,3418,2018,913,1278,2080,34405,902
912,1203,913,1193,904,923,36,953,903,1278,50,1262,1221,541,1250,5060,908,1252,919,91500,1240,2858,1617,750,5991,1394,2455,1230,6711,1267,924
913,908,1953,1203,1252,1285,1245,1674,912,5060,300,923,1266,1230,1278,3039,903,4002,1617,1219,1267,6807,1982,2455,1201,4855,1247,235,1645,551,1204
914,1947,3681,508,1097,1276,1198,1954,6867,1035,1197,1682,1204,1304,76251,80463,1028,72011,1265,2078,1263,150,1907,555,588,1358,1214,1242,1210,5349,595
919,1,595,596,594,1207,4306,3114,364,1073,1721,1291,588,1265,4896,1097,34,5816,2081,1035,2396,1022,1961,2858,8961,5349,260,1247,40815,1387,1682
920,953,2949,1207,1393,1304,1387,2804,2948,3006,594,539,357,904,1784,11,6377,1242,1961,595,3471,1721,356,1,1262,919,1035,1307,1374,31410,2539
922,1212,1203,904,1252,2871,2019,1228,1673,3362,235,1333,5060,2599,1230,1953,56757,910,471,1358,923,1278,1982,903,3608,111,1219,6807,913,7090,661
923,1288,1230,913,1247,912,1252,858,1617,745,55269,903,1208,37741,924,8981,1219,4034,750,1682,39183,1221,904,1333,6385,4979,27773,908,1258,1206,922
924,1206,1208,1214,6711,2455,541,4370,3481,2529,923,2712,2291,1222,903,1274,3809,288,750,2791,908,1201,1997,37741,2395,3996,1333,5015,1288,5060,1080
953,1207,1234,2949,920,594,904,1304,1035,1387,596,2018,919,1333,111,2804,2797,1375,1060,1198,1073,37741,1278,3671,6377,1028,2078,1,6,1242,1022
1022,2087,1029,2018,594,596,1028,1035,2078,2080,4246,2081,539,3114,1032,1569,595,783,1,34,661,588,62,2355,919,1367,5377,6155,357,2085,1073
1027,3033,1801,3252,2006,3256,3489,673,520,2087,500,4128,7004,455,158,587,1917,30825,2302,2378,3717,3753,2335,6157,552,368,2012,2002,788,3247,553
1028,1022,2078,1032,1029,2087,1035,1073,2081,2085,596,1907,48,595,2080,3608,4896,1097,594,1367,1148,1639,357,1265,3114,1207,919,539,2018,46972,2355
1029,596,2078,1022,594,2018,2087,2080,1032,2085,1028,1035,1367,661,3608,3798,1207,1265,34,1073,3114,586,2081,6155,1097,2355,1148,1193,1,457,1962
1032,2087,596,1029,1028,2018,594,2078,1035,1022,2947,1907,180,2949,1747,1193,1073,2321,3826,2355,919,661,5991,4246,1206,6708,7451,1,2081,1265,2085
1035,1022,1028,594,1032,2078,1029,2087,595,1380,5377,2081,1947,953,919,539,1907,661,1207,596,5299,1262,2470,2018,1,357,2355,7451,3114,1569,2949
1036,165,2000,1370,2001,733,3527,1610,434,1270,1608,377,1198,1291,589,480,380,1552,1200,1387,3578,457,5349,1101,1214,1544,1407,2115,1580,788,1265
1059,5989,2291,500,1721,64957,30812,1356,2321,5349,2268,2918,1962,368,141,1954,3481,2396,1961,3949,2470,4306,5991,2054,6365,2858,2541,4148,2002,33679,3994
1060,1242,1358,55118,3006,2502,1387,555,111,1090,3949,953,1193,1304,1089,6188,72011,8784,1784,1234,300,1036,8949,1175,6867,31410,741,4002,1276,1961,6
1073,1028,1265,919,2174,2683,8360,2947,1,2949,30793,4886,1097,4306,586,3114,3671,1032,1682,3499,2797,1022,1387,6377,2078,6936,2005,539,5459,953,1207
1079,1265,357,1682,440,3448,1278,1193,1206,1259,1617,4022,223,2918,1466,1307,3996,1641,1387,1089,1249,260,150,778,3006,5989,2997,1242,457,6,1175
1080,1136,6807,2997,2291,1222,253,551,6,2692,34437,1172,1391,541,778,2908,1517,2571,5060,924,2916,1639,1208,1544,2657,1200,27831,2232,1220,3033,3996
1088,1380,1544,2,802,141,3255,2470,3418,2420,597,1721,2100,4701,2000,1911,377,6365,500,2407,1962,587,3977,736,2724,34048,1573,3510,1644,2001,780
1089,1206,296,778,111,50,2959,1222,1732,1617,7438,1258,2329,223,3949,1193,6,1208,1079,293,2997,16,555,4979,2858,4262,1263,6016,5902,1466,7090
1090,1961,1222,31410,3448,1225,1208,555,1466,1617,2000,1206,1610,1193,37741,16,1653,1263,1242,434,2268,590,1358,508,1060,8873,1674,3681,1036,3006,454
1092,1994,1997,2268,2001,196,368,4321,4855,2000,1343,3101,3039,2378,2712,1377,4007,2100,2791,586,3863,1544,380,2706,2641,832,1962,1645,597,3868,3527
1094,3703,6867,509,1641,2916,5902,8949,410,1358,1962,2076,508,1225,1172,5060,3101,1214,2324,593,1090,3418,141,37733,914,5995,3253,6870,1380,1222,2987
1097,480,1387,1,1270,595,1291,150,2011,4896,1198,6377,2028,3114,586,919,5349,2797,1375,2355,2640,594,1207,364,1073,1240,500,589,1407,377,8636
1101,733,1917,2268,587,597,1610,1370,2617,780,377,1036,2000,2420,480,1552,2797,1544,539,153,2001,4270,500,508,434,1961,1485,95,1608,590,736
1127,292,5989,1544,377,485,1584,480,4022,1320,410,1396,736,1676,329,8368,3033,1580,196,1027,6863,1097,832,780,587,440,1674,208,2762,2115,4896
1129,1587,3703,3702,4855,2916,4085,3527,434,3681,1597,3535,5418,2076,1722,1262,5872,8874,3168,2378,1266,2529,1676,2490,2722,442,4776,2947,2467,2278,2115
1136,1080,6807,6874,2858,2571,1265,2997,1196,1206,1258,7361,4226,592,2324,4027,1517,1222,1089,1210,2599,1291,2692,750,34437,1580,2502,5952,2890,1682,7438
1148,745,1223,3751,38038,3114,150,1367,34,1028,3608,2890,1907,1,1097,78499,6016,2085,1212,1029,4007,595,41997,6947,527,4014,1387,2105,2717,923,4973
1172,1276,1617,2599,8983,5060,1252,52328,2273,1080,1094,2395,8784,1258,1278,1234,3033,3160,551,2115,1212,1213,661,1358,1953,1199,2336,2539,4855,81591,85414
1175,29,61240,1199,111,3006,8873,31410,55118,3681,8961,7323,1234,1079,1242,2951,2997,76251,7090,1206,1732,1387,5903,953,337,1060,1466,1784,778,6350,8914
